id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1475838455963955214,1475833126412865537,2021-12-28 09:38:02 Eastern Standard Time,2021-12-28,09:38:02,-0500,878247600096509952,realcandaceo,Candace Owens,,"@gorskon Um. I didn’t suggest this as a covid cure— at all. I just take colloidal silver every day. Like I take magnesium, iron, and iodine daily.   This is quite literally, fake news.",en,[],[],[],14,1,12,[],[],https://twitter.com/RealCandaceO/status/1475838455963955214,False,,0,,,,,,,,"[{'screen_name': 'gorskon', 'name': 'David Gorski, MD, PhD', 'id': '85227160'}]",,,,
1475537179434758146,1475537179434758146,2021-12-27 13:40:52 Eastern Standard Time,2021-12-27,13:40:52,-0500,878247600096509952,realcandaceo,Candace Owens,,Over the last 3 weeks I know seven people who came down with Covid. Zero of them were vaccinated. Zero of them went to the hospital. Zero of them had severe symptoms.   The Covid fear narrative is collapsing worldwide and the media knows it.,en,[],[],[],4686,10880,60211,[],[],https://twitter.com/RealCandaceO/status/1475537179434758146,False,,0,,,,,,,,[],,,,
1475141287166812162,1475141287166812162,2021-12-26 11:27:44 Eastern Standard Time,2021-12-26,11:27:44,-0500,878247600096509952,realcandaceo,Candace Owens,,"They lied.  I’m so glad I did not get to the “vaccine”, which does NOTHING to stop the spread of Covid.  The rest of you are clowns for allowing them to get away with such blatant lies.",en,[],[],[],3389,15504,43261,[],[],https://twitter.com/RealCandaceO/status/1475141287166812162,False,https://twitter.com/Cernovich/status/1474946202714079236,0,,,,,,,,[],,,,
1474170605515821056,1474170605515821056,2021-12-23 19:10:35 Eastern Standard Time,2021-12-23,19:10:35,-0500,878247600096509952,realcandaceo,Candace Owens,,Hey Meghan— did you know that the overwhelming majority of people dying and/or being hospitalized  from Covid-19 are clinically obese? People like you love the vaccine because it allows you to pretend that you care about health. People like me see right through that bullshit.,en,[],[],[],3952,4402,30964,[],[],https://twitter.com/RealCandaceO/status/1474170605515821056,False,https://twitter.com/MeghanMcCain/status/1474069990085124112,0,,,,,,,,[],,,,
1474111637061832708,1474111637061832708,2021-12-23 15:16:16 Eastern Standard Time,2021-12-23,15:16:16,-0500,878247600096509952,realcandaceo,Candace Owens,,"I have no issue with any person who wants to get the vaccine.  I just will never ever let that vaccine into my body. I believe firmly that Big Pharma is the greatest evil on the face of the planet.  I am healthy, young, in shape and simply unafraid of Covid-19.",en,[],[],[],4370,9155,62630,[],[],https://twitter.com/RealCandaceO/status/1474111637061832708,False,,0,,,,,,,,[],,,,
1472763603325435905,1472763603325435905,2021-12-19 21:59:40 Eastern Standard Time,2021-12-19,21:59:40,-0500,878247600096509952,realcandaceo,Candace Owens,,"I love how we’ve committed to referring to the many cases of Covid in vaccinated individuals as “breakthrough infections”, as opposed to questioning the efficacy of vaccines.",en,[],[],[],2260,12399,59796,[],[],https://twitter.com/RealCandaceO/status/1472763603325435905,False,,0,,,,,,,,[],,,,
1468993552801837067,1468993552801837067,2021-12-09 12:18:50 Eastern Standard Time,2021-12-09,12:18:50,-0500,878247600096509952,realcandaceo,Candace Owens,,Is there anything that the “conspiracy theorists” were proven wrong about pertaining to Covid thus far?  Can’t find even one thing that hasn’t checked out.,en,[],[],[],768,3300,14450,[],[],https://twitter.com/RealCandaceO/status/1468993552801837067,False,https://twitter.com/CNBC/status/1468628704117018632,0,,,,,,,,[],,,,
1468719804353814532,1468719804353814532,2021-12-08 18:11:03 Eastern Standard Time,2021-12-08,18:11:03,-0500,878247600096509952,realcandaceo,Candace Owens,,Covid-19 “temporary” has been my favorite government program of all time.,en,[],[],[],226,1607,12086,[],[],https://twitter.com/RealCandaceO/status/1468719804353814532,False,https://twitter.com/elonmusk/status/1468685877970935809,0,,,,,,,,[],,,,
1466507813103013889,1466507813103013889,2021-12-02 15:41:23 Eastern Standard Time,2021-12-02,15:41:23,-0500,878247600096509952,realcandaceo,Candace Owens,,"There will eventually be human rights trials over the treatment of citizens during Covid. For those of you in business, media &amp; government who have worked to abet these injustices: do note that while it’s fun to be in power, when tyranny collapses—and it always does—you will pay.",en,[],[],[],2064,14389,57845,[],[],https://twitter.com/RealCandaceO/status/1466507813103013889,False,,0,,,,,,,,[],,,,
1466488810779430915,1466488810779430915,2021-12-02 14:25:53 Eastern Standard Time,2021-12-02,14:25:53,-0500,878247600096509952,realcandaceo,Candace Owens,,"This is why I disagree with @ChrisCuomo’s suspension. @CNN literally paid him to lie, smear, and propagandize. Dude literally fake-emerged from his basement for them after pretending to suffer from Covid to spread fear.  Now they suspend him for lying?  Not fair to Fredo!!",en,"[{'screen_name': 'chriscuomo', 'name': 'christopher c. cuomo', 'id': '22799750'}, {'screen_name': 'cnn', 'name': 'cnn', 'id': '759251'}]",[],[],328,798,5179,[],[],https://twitter.com/RealCandaceO/status/1466488810779430915,False,https://twitter.com/Cernovich/status/1466485858517671936,0,,,,,,,,[],,,,
